[train_v2] Device: cuda
[train_v2] transition=lstm hidden=512 layers=3 | epochs=1500 seq_len=40 lr=0.0005 batch=8
[train_v2] loss weights: recon=0.3 kl_dyn=1.0 kl_reg=0.005 free_bits=0.0 trans_mse=1.0
[train_v2] Loaded 9 cached feature sequences from data/features_cache_v2.pkl
[train_v2] feature stats set on 2435 frames (mean|14.114| std~74.016)
/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[metrics] run 'world_model_v2_20260621_052133' → logs/world_model_v2_20260621_052133/

==================================================
WORLD MODEL v2 TRAINING (proper VAE)
==================================================
  Epoch    0/1500 | Loss 1.53170 | Best 1.53170 | recon 0.9105 | kl_dyn 0.2620 | kl_reg 0.3065
  Epoch    5/1500 | Loss 1.32698 | Best 1.32042 | recon 1.0188 | kl_dyn 0.0216 | kl_reg 0.1073
  Epoch   10/1500 | Loss 1.38766 | Best 1.17898 | recon 1.2309 | kl_dyn 0.0089 | kl_reg 0.0866
  Epoch   15/1500 | Loss 1.26504 | Best 1.17898 | recon 0.8541 | kl_dyn 0.0047 | kl_reg 0.0726
  Epoch   20/1500 | Loss 1.28943 | Best 1.17898 | recon 0.9253 | kl_dyn 0.0048 | kl_reg 0.0675
  Epoch   25/1500 | Loss 1.34709 | Best 1.17898 | recon 1.1184 | kl_dyn 0.0087 | kl_reg 0.0636
  Epoch   30/1500 | Loss 1.36283 | Best 1.17898 | recon 1.1803 | kl_dyn 0.0026 | kl_reg 0.0542
  Epoch   35/1500 | Loss 1.31782 | Best 1.17898 | recon 1.0533 | kl_dyn 0.0013 | kl_reg 0.0453
  Epoch   40/1500 | Loss 1.21308 | Best 1.17898 | recon 0.6873 | kl_dyn 0.0010 | kl_reg 0.0365
  Epoch   45/1500 | Loss 1.33082 | Best 1.17898 | recon 1.0774 | kl_dyn 0.0030 | kl_reg 0.0342
  Epoch   50/1500 | Loss 1.34176 | Best 1.17898 | recon 1.1375 | kl_dyn 0.0021 | kl_reg 0.0313
  Epoch   55/1500 | Loss 1.35381 | Best 1.17898 | recon 1.1344 | kl_dyn 0.0026 | kl_reg 0.0289
  Epoch   60/1500 | Loss 1.27478 | Best 1.17898 | recon 0.8365 | kl_dyn 0.0064 | kl_reg 0.0395
  Epoch   65/1500 | Loss 1.28142 | Best 1.17898 | recon 0.9244 | kl_dyn 0.0008 | kl_reg 0.0320
  Epoch   70/1500 | Loss 1.36302 | Best 1.17898 | recon 1.1789 | kl_dyn 0.0015 | kl_reg 0.0249
  Epoch   75/1500 | Loss 1.35759 | Best 1.17898 | recon 1.1432 | kl_dyn 0.0008 | kl_reg 0.0220
  Epoch   80/1500 | Loss 1.18966 | Best 1.17898 | recon 0.5973 | kl_dyn 0.0008 | kl_reg 0.0220
  Epoch   85/1500 | Loss 1.30252 | Best 1.17898 | recon 0.9796 | kl_dyn 0.0006 | kl_reg 0.0145
  Epoch   90/1500 | Loss 1.18100 | Best 1.17898 | recon 0.5752 | kl_dyn 0.0009 | kl_reg 0.0144
  Epoch   95/1500 | Loss 1.23810 | Best 1.17898 | recon 0.7726 | kl_dyn 0.0011 | kl_reg 0.0143
  Epoch  100/1500 | Loss 1.29062 | Best 1.17898 | recon 0.9507 | kl_dyn 0.0011 | kl_reg 0.0142
  Epoch  105/1500 | Loss 1.30653 | Best 1.17046 | recon 1.0169 | kl_dyn 0.0044 | kl_reg 0.0172
  Epoch  110/1500 | Loss 1.29621 | Best 1.17046 | recon 0.9702 | kl_dyn 0.0020 | kl_reg 0.0160
  Epoch  115/1500 | Loss 1.27835 | Best 1.17046 | recon 0.9276 | kl_dyn 0.0014 | kl_reg 0.0187
  Epoch  120/1500 | Loss 1.27418 | Best 1.17046 | recon 0.9110 | kl_dyn 0.0010 | kl_reg 0.0176
  Epoch  125/1500 | Loss 1.27503 | Best 1.17046 | recon 0.9136 | kl_dyn 0.0003 | kl_reg 0.0161
  Epoch  130/1500 | Loss 1.28161 | Best 1.17046 | recon 0.9058 | kl_dyn 0.0006 | kl_reg 0.0167
  Epoch  135/1500 | Loss 1.36550 | Best 1.17046 | recon 1.2057 | kl_dyn 0.0005 | kl_reg 0.0154
  Epoch  140/1500 | Loss 1.21104 | Best 1.17046 | recon 0.6759 | kl_dyn 0.0011 | kl_reg 0.0145
  Epoch  145/1500 | Loss 1.36419 | Best 1.17046 | recon 1.1927 | kl_dyn 0.0005 | kl_reg 0.0129
  Epoch  150/1500 | Loss 1.20362 | Best 1.17046 | recon 0.6449 | kl_dyn 0.0013 | kl_reg 0.0156
  Epoch  155/1500 | Loss 1.21937 | Best 1.17046 | recon 0.7408 | kl_dyn 0.0004 | kl_reg 0.0155
  Epoch  160/1500 | Loss 1.24457 | Best 1.17046 | recon 0.7863 | kl_dyn 0.0010 | kl_reg 0.0175
  Epoch  165/1500 | Loss 1.38254 | Best 1.17046 | recon 1.2571 | kl_dyn 0.0003 | kl_reg 0.0194
  Epoch  170/1500 | Loss 1.31561 | Best 1.17046 | recon 1.0481 | kl_dyn 0.0004 | kl_reg 0.0170
