step,elapsed_s,train_loss,lr
0,0.2,0.12225864827632904,0.0009939057285945933
1,0.4,0.274953239162763,0.0009757729755661012
2,0.6,0.5603683739900589,0.0009460482294732422
3,0.8,0.6765019317468007,0.0009054634122155991
4,1.0,0.7348021427790324,0.0008550178566873411
5,1.2,0.9271138628323873,0.0007959536998847743
6,1.3,0.46619552026192346,0.0007297252973710758
7,1.5,0.7539392213026682,0.0006579634122155991
8,1.7,0.44950796763102213,0.0005824350601949144
9,1.9,0.3580026219288508,0.0005050000000000001
10,2.1,0.3119101196527481,0.000427564939805086
11,2.3,0.1723301887512207,0.0003520365877844012
12,2.5,0.15619532490770022,0.00028027470262892445
13,2.7,0.11950359468658765,0.0002140463001152259
14,2.8,0.0915005698800087,0.00015498214331265904
15,3.0,0.060954290876785916,0.00010453658778440108
16,3.2,0.052053020770351094,6.395177052675796e-05
17,3.4,0.0465451958278815,3.422702443389901e-05
18,3.6,0.04035215079784393,1.6094271405406862e-05
19,3.8,0.045024898896614714,1e-05
